part_id,mode_survey,group_yn,group_n,include_all_contacts,num_left_out,group_age0,group_age6,group_age12,group_age19,group_age60,group_age,group_cont
1020320,S,1,20,1,NA,0,1,0,0,0,age6-12,Group Cont
1020321,S,1,31,1,NA,0,0,1,0,0,age13-19,Group Cont
1020322,S,1,40,0,2,0,0,0,0,0,No Group Cont,Group Cont
1020323,S,0,0,0,1,0,0,0,0,0,No Group Cont,No Group Cont
1020325,S,0,0,1,NA,0,0,0,0,0,No Group Cont,No Group Cont
1020326,S,0,0,1,NA,0,0,0,0,0,No Group Cont,No Group Cont
1020327,S,0,0,0,20,0,0,0,0,0,No Group Cont,No Group Cont
1020329,S,1,27,0,NA,0,0,0,1,0,age20-60,Group Cont
1020330,S,1,20,0,10,0,0,0,1,0,age20-60,Group Cont
1020331,S,0,0,1,NA,0,0,0,0,0,No Group Cont,No Group Cont
1020332,S,0,0,1,NA,0,0,0,0,0,No Group Cont,No Group Cont
1020333,T,0,0,1,NA,0,0,0,0,0,No Group Cont,No Group Cont
1020334,S,0,0,0,NA,0,0,0,0,0,No Group Cont,No Group Cont
1030101,S,0,0,NA,NA,0,0,0,0,0,No Group Cont,No Group Cont
1030102,S,0,0,0,3,0,0,0,0,0,No Group Cont,No Group Cont
1030103,S,1,40,NA,NA,0,1,0,1,0,age6-12,Group Cont
1030104,S,1,25,1,NA,0,0,0,1,1,age20-60,Group Cont
1030105,S,1,40,1,NA,0,0,0,1,0,age20-60,Group Cont
1030106,S,0,0,1,NA,0,0,0,0,0,No Group Cont,No Group Cont
1030107,S,0,0,NA,NA,0,0,0,0,0,No Group Cont,No Group Cont
1030108,S,0,0,1,NA,0,0,0,0,0,No Group Cont,No Group Cont
1030109,S,0,0,NA,NA,0,0,0,0,0,No Group Cont,No Group Cont
1030110,S,0,0,1,NA,0,0,0,0,0,No Group Cont,No Group Cont
1030111,S,0,0,1,NA,0,0,0,0,0,No Group Cont,No Group Cont
1030112,S,0,0,1,NA,0,0,0,0,0,No Group Cont,No Group Cont
1030113,S,1,40,1,NA,0,0,1,1,0,age13-19,Group Cont
1030114,S,0,0,1,NA,0,0,0,0,0,No Group Cont,No Group Cont
1030115,S,0,0,1,NA,0,0,0,0,0,No Group Cont,No Group Cont
1030116,S,0,0,NA,NA,0,0,0,0,0,No Group Cont,No Group Cont
1030117,S,0,0,1,NA,0,0,0,0,0,No Group Cont,No Group Cont
1030119,S,1,21,0,NA,0,1,0,0,0,age6-12,Group Cont
1030120,S,0,0,0,NA,0,0,0,0,0,No Group Cont,No Group Cont
1030121,S,1,25,1,NA,0,0,1,0,0,age13-19,Group Cont
1030122,S,0,0,1,NA,0,0,0,0,0,No Group Cont,No Group Cont
1030124,S,0,0,1,NA,0,0,0,0,0,No Group Cont,No Group Cont
1030125,S,1,25,1,NA,0,0,0,1,0,age20-60,Group Cont
1030201,S,0,0,1,NA,0,0,0,0,0,No Group Cont,No Group Cont
1030202,S,0,0,1,NA,0,0,0,0,0,No Group Cont,No Group Cont
1030203,S,0,0,1,NA,0,0,0,0,0,No Group Cont,No Group Cont
1030204,S,1,35,NA,NA,1,1,1,1,1,age0-6,Group Cont
1030205,S,0,0,0,30,0,0,0,0,0,No Group Cont,No Group Cont
1030206,S,1,20,1,NA,0,0,0,1,0,age20-60,Group Cont
1030207,S,0,0,1,NA,0,0,0,0,0,No Group Cont,No Group Cont
1030208,S,0,0,1,NA,0,0,0,0,0,No Group Cont,No Group Cont
1030209,S,1,40,0,15,0,0,0,1,0,age20-60,Group Cont
1030210,S,0,0,0,15,0,0,0,0,0,No Group Cont,No Group Cont
1030211,S,1,30,1,NA,1,1,0,1,0,age0-6,Group Cont
1030212,S,0,0,NA,NA,0,0,0,0,0,No Group Cont,No Group Cont
1030213,S,1,30,NA,NA,1,0,0,1,0,age0-6,Group Cont
1030215,S,0,0,0,NA,0,0,0,0,0,No Group Cont,No Group Cont
1030216,S,0,0,1,NA,0,0,0,0,0,No Group Cont,No Group Cont
1030217,S,0,0,0,40,0,0,0,0,0,No Group Cont,No Group Cont
1030218,S,0,0,0,NA,0,0,0,0,0,No Group Cont,No Group Cont
1030219,S,0,0,0,10,0,0,0,0,0,No Group Cont,No Group Cont
1030220,S,0,0,1,NA,0,0,0,0,0,No Group Cont,No Group Cont
